date,mean_ndvi
2016-02-04,0.557
2016-02-20,0.561
2016-03-23,0.519
2016-04-24,0.746
2016-05-18,0.821
2016-05-26,0.796
2016-06-07,0.831
2016-06-27,0.831
2016-07-07,0.824
2016-07-17,0.835
2016-07-27,0.827
2016-07-29,0.813
2016-08-14,0.810
2016-08-26,0.818
2016-08-30,0.817
2016-09-05,0.794
2016-11-02,0.727
2016-11-24,0.829
2016-12-14,0.841
2017-01-03,0.733
2017-02-22,0.596
2017-03-10,0.555
2017-03-14,0.568
2017-03-26,0.562
2017-04-03,0.574
2017-04-11,0.619
2017-04-13,0.685
2017-04-23,0.809
2017-05-23,0.857
2017-06-12,0.857
2017-06-14,0.844
2017-06-22,0.848
2017-07-02,0.857
2017-07-07,0.829
2017-07-16,0.855
2017-07-17,0.842
2017-07-27,0.854
2017-08-06,0.842
2017-08-17,0.834
2017-08-21,0.848
2017-09-02,0.819
2017-09-05,0.839
2017-09-20,0.840
2017-10-04,0.834
2017-10-05,0.834
2017-10-10,0.791
2017-10-15,0.821
2017-10-25,0.812
2017-11-05,0.740
2017-11-14,0.722
2017-11-19,0.727
2017-11-21,0.588
2017-12-07,0.603
2018-01-18,0.662
2018-01-24,0.586
2018-01-28,0.667
2018-02-07,0.605
2018-02-09,0.566
2018-02-27,0.560
2018-03-14,0.557
2018-03-19,0.573
2018-04-18,0.592
2018-07-07,0.855
2018-07-12,0.851
2018-07-17,0.852
2018-07-19,0.855
2018-07-27,0.828
2018-08-01,0.848
2018-08-04,0.837
2018-08-11,0.855
2018-08-16,0.854
2018-08-20,0.846
2018-08-21,0.849
2018-08-26,0.847
2018-09-05,0.829
2018-09-20,0.850
2018-09-21,0.838
2018-10-05,0.844
2018-10-07,0.832
2018-10-23,0.823
2018-10-25,0.823
2018-11-24,0.694
2018-12-19,0.702
2018-12-29,0.772
2019-01-03,0.684
2019-01-11,0.570
2019-02-12,0.621
2019-02-17,0.593
2019-02-22,0.586
2019-02-27,0.580
2019-02-28,0.540
2019-03-09,0.594
2019-03-16,0.560
2019-03-24,0.568
2019-03-29,0.562
2019-04-13,0.565
2019-04-28,0.741
2019-05-13,0.816
2019-05-23,0.825
2019-06-02,0.841
2019-06-17,0.833
2019-06-27,0.820
2019-07-02,0.839
2019-07-06,0.820
2019-07-07,0.823
2019-07-12,0.839
2019-07-17,0.836
2019-07-22,0.798
2019-08-01,0.821
2019-08-11,0.819
2019-08-16,0.836
2019-08-21,0.821
2019-08-23,0.816
2019-08-31,0.824
2019-09-05,0.813
2019-09-08,0.809
2019-09-24,0.844
2019-09-30,0.838
2019-10-15,0.828
2019-10-25,0.822
2019-10-26,0.811
2019-10-30,0.818
2019-11-24,0.784
2019-12-09,0.751
2019-12-14,0.616
2019-12-24,0.723
2020-01-08,0.726
2020-01-13,0.559
2020-01-14,0.584
2020-01-28,0.656
2020-02-27,0.566
2020-03-08,0.591
2020-04-03,0.566
2020-05-07,0.839
2020-05-21,0.816
2020-05-22,0.857
2020-05-27,0.852
2020-06-21,0.851
2020-06-22,0.851
2020-06-26,0.811
2020-07-08,0.860
2020-07-11,0.847
2020-07-21,0.847
2020-07-24,0.842
2020-07-31,0.820
2020-08-05,0.850
2020-08-09,0.815
2020-08-10,0.824
2020-08-15,0.836
2020-08-20,0.833
2020-08-25,0.843
2020-08-30,0.843
2020-09-04,0.844
2020-09-14,0.845
2020-09-29,0.804
2020-10-19,0.779
2020-10-24,0.762
2020-10-29,0.709
2020-11-18,0.653
2020-11-23,0.678
2020-11-29,0.607
2020-12-03,0.718
2020-12-13,0.817
2020-12-28,0.678
2021-01-16,0.547
2021-02-11,0.614
2021-02-17,0.575
2021-02-26,0.581
2021-03-21,0.564
2021-03-23,0.570
2021-03-28,0.569
2021-04-02,0.614
2021-04-07,0.570
2021-04-12,0.606
2021-05-08,0.837
2021-05-24,0.865
2021-05-27,0.860
2021-06-09,0.874
2021-06-16,0.827
2021-06-21,0.861
2021-06-25,0.874
2021-07-01,0.833
2021-07-16,0.847
2021-07-21,0.849
2021-07-26,0.805
2021-07-27,0.838
2021-07-31,0.863
2021-08-12,0.815
2021-08-15,0.815
2021-08-20,0.851
2021-08-28,0.841
2021-09-19,0.866
2021-10-14,0.853
2021-11-13,0.759
2021-11-18,0.728
2021-12-03,0.655
2021-12-18,0.875
2022-01-12,0.628
2022-01-17,0.663
2022-01-19,0.612
2022-01-22,0.632
2022-01-27,0.637
2022-02-01,0.629
2022-02-04,0.555
2022-02-06,0.637
2022-02-12,0.580
2022-02-20,0.584
2022-02-26,0.599
2022-03-28,0.572
2022-04-01,0.556
2022-04-02,0.569
2022-04-17,0.680
2022-04-22,0.735
2022-04-25,0.762
2022-05-11,0.849
2022-05-12,0.847
2022-05-17,0.853
2022-05-19,0.835
2022-05-22,0.825
2022-06-01,0.850
2022-06-04,0.830
2022-06-06,0.846
2022-06-11,0.852
2022-06-12,0.836
2022-06-16,0.781
2022-06-28,0.841
2022-07-11,0.836
2022-07-14,0.822
2022-07-16,0.813
2022-07-21,0.819
2022-07-22,0.811
2022-07-26,0.826
2022-07-31,0.819
2022-08-05,0.807
2022-08-07,0.790
2022-08-10,0.798
2022-08-20,0.805
2022-08-30,0.798
2022-09-09,0.797
2022-09-19,0.768
2022-10-02,0.756
2022-10-04,0.802
2022-12-05,0.657
2022-12-23,0.765
2022-12-29,0.631
2023-01-07,0.774
2023-01-12,0.676
2023-02-16,0.711
2023-03-03,0.573
2023-03-28,0.549
2023-04-02,0.551
2023-04-07,0.542
2023-04-17,0.566
2023-04-20,0.589
2023-04-27,0.731
2023-05-02,0.776
2023-05-17,0.786
2023-05-27,0.790
2023-05-30,0.798
2023-06-23,0.801
2023-06-26,0.807
2023-07-09,0.789
2023-07-11,0.763
2023-07-17,0.767
2023-07-21,0.790
2023-07-26,0.793
2023-07-31,0.814
2023-08-05,0.814
2023-08-10,0.766
2023-08-15,0.804
2023-08-20,0.795
2023-08-30,0.745
2023-09-04,0.726
2023-09-09,0.772
2023-09-11,0.757
2023-09-14,0.778
2023-09-24,0.782
2023-09-27,0.752
2023-09-29,0.781
2023-10-04,0.780
2023-10-09,0.782
2023-10-13,0.769
2023-11-08,0.783
2023-11-13,0.689
2023-11-18,0.715
2023-12-03,0.720
2023-12-16,0.597
2023-12-23,0.745
2023-12-24,0.584
2024-01-07,0.628
2024-01-09,0.717
2024-01-22,0.670
2024-01-25,0.575
2024-01-27,0.601
2024-02-11,0.599
2024-02-18,0.537
2024-03-05,0.554
2024-03-12,0.652
2024-03-13,0.551
2024-03-17,0.563
2024-03-27,0.588
2024-04-01,0.577
2024-04-11,0.578
2024-04-14,0.652
2024-04-21,0.724
2024-04-22,0.711
2024-05-08,0.748
2024-05-11,0.796
2024-06-05,0.816
2024-06-17,0.799
2024-06-25,0.808
2024-07-03,0.806
2024-07-05,0.811
2024-07-10,0.810
2024-07-11,0.810
2024-07-15,0.813
2024-07-19,0.783
2024-07-20,0.785
2024-07-25,0.810
2024-07-27,0.798
2024-07-30,0.782
2024-08-04,0.805
2024-08-09,0.804
2024-08-19,0.789
2024-08-20,0.788
2024-08-24,0.797
2024-08-28,0.793
2024-08-29,0.797
2024-09-13,0.797
2024-09-18,0.796
2024-09-28,0.776
2024-09-29,0.761
2024-10-03,0.772
2024-10-23,0.736
2024-11-17,0.687
2024-11-22,0.690
2024-11-27,0.686
2024-12-18,0.597
2024-12-27,0.743
