date,mean_ndvi
2016-02-04,0.570
2016-02-20,0.568
2016-03-23,0.534
2016-05-18,0.775
2016-05-26,0.755
2016-06-07,0.805
2016-06-27,0.802
2016-07-07,0.791
2016-07-17,0.779
2016-07-27,0.775
2016-07-29,0.747
2016-08-14,0.734
2016-08-26,0.749
2016-08-30,0.739
2016-09-05,0.734
2016-11-02,0.688
2017-02-22,0.593
2017-03-10,0.561
2017-03-14,0.583
2017-03-26,0.581
2017-04-03,0.601
2017-04-11,0.612
2017-04-13,0.649
2017-04-23,0.744
2017-05-23,0.815
2017-06-12,0.808
2017-06-14,0.786
2017-06-22,0.791
2017-07-02,0.796
2017-07-07,0.775
2017-07-16,0.775
2017-07-17,0.778
2017-07-27,0.778
2017-08-06,0.768
2017-08-17,0.738
2017-08-21,0.752
2017-09-02,0.724
2017-09-05,0.752
2017-09-20,0.754
2017-10-04,0.759
2017-10-05,0.759
2017-10-10,0.733
2017-10-25,0.751
2017-11-05,0.700
2017-11-14,0.695
2017-11-19,0.686
2017-11-21,0.602
2017-12-07,0.609
2018-01-18,0.659
2018-01-23,0.618
2018-01-24,0.586
2018-01-28,0.701
2018-02-27,0.569
2018-03-14,0.565
2018-04-18,0.589
2018-07-07,0.799
2018-07-17,0.794
2018-07-19,0.784
2018-07-27,0.778
2018-08-01,0.788
2018-08-04,0.764
2018-08-11,0.794
2018-08-16,0.786
2018-08-20,0.774
2018-08-21,0.785
2018-08-26,0.781
2018-09-20,0.766
2018-09-21,0.752
2018-10-05,0.764
2018-10-23,0.763
2018-10-25,0.762
2018-11-24,0.718
2018-12-19,0.753
2018-12-29,0.714
2019-01-03,0.732
2019-02-12,0.623
2019-02-17,0.604
2019-02-22,0.592
2019-02-27,0.586
2019-02-28,0.546
2019-03-09,0.605
2019-03-16,0.565
2019-03-24,0.579
2019-03-29,0.579
2019-04-13,0.589
2019-04-28,0.690
2019-05-13,0.778
2019-05-23,0.795
2019-06-02,0.811
2019-06-17,0.802
2019-06-27,0.785
2019-07-06,0.757
2019-07-07,0.778
2019-07-12,0.787
2019-07-17,0.779
2019-07-22,0.761
2019-08-01,0.768
2019-08-06,0.757
2019-08-11,0.760
2019-08-16,0.766
2019-08-21,0.751
2019-08-23,0.739
2019-08-31,0.771
2019-09-05,0.748
2019-09-08,0.729
2019-09-24,0.775
2019-09-30,0.785
2019-10-10,0.793
2019-10-15,0.797
2019-10-25,0.797
2019-10-26,0.780
2019-10-30,0.791
2019-11-04,0.772
2019-12-09,0.748
2019-12-14,0.730
2019-12-24,0.743
2020-01-08,0.779
2020-01-13,0.599
2020-01-28,0.684
2020-03-08,0.612
2020-04-03,0.591
2020-05-07,0.804
2020-05-21,0.788
2020-05-22,0.819
2020-05-27,0.816
2020-06-21,0.813
2020-06-26,0.798
2020-07-01,0.803
2020-07-08,0.797
2020-07-11,0.794
2020-07-16,0.792
2020-07-21,0.793
2020-07-24,0.774
2020-07-31,0.764
2020-08-05,0.769
2020-08-09,0.736
2020-08-10,0.757
2020-08-15,0.752
2020-08-20,0.748
2020-08-25,0.747
2020-08-30,0.757
2020-09-04,0.751
2020-09-14,0.759
2020-10-24,0.741
2020-11-18,0.682
2020-11-23,0.697
2020-11-29,0.651
2020-12-03,0.701
2020-12-13,0.786
2020-12-28,0.705
2021-02-17,0.589
2021-02-26,0.610
2021-03-21,0.572
2021-03-23,0.583
2021-03-28,0.583
2021-04-02,0.611
2021-04-07,0.587
2021-04-12,0.617
2021-05-08,0.765
2021-05-24,0.808
2021-05-27,0.817
2021-06-09,0.819
2021-06-16,0.795
2021-06-21,0.801
2021-06-25,0.803
2021-06-26,0.789
2021-07-01,0.786
2021-07-11,0.778
2021-07-16,0.777
2021-07-21,0.771
2021-07-26,0.768
2021-07-27,0.763
2021-08-12,0.727
2021-08-15,0.747
2021-08-20,0.757
2021-08-28,0.740
2021-09-19,0.782
2021-10-14,0.786
2021-11-18,0.699
2021-12-03,0.672
2021-12-18,0.726
2022-01-12,0.665
2022-01-17,0.670
2022-01-22,0.642
2022-01-27,0.633
2022-02-01,0.633
2022-02-04,0.555
2022-02-06,0.625
2022-02-12,0.564
2022-02-20,0.572
2022-02-26,0.582
2022-03-28,0.571
2022-04-02,0.597
2022-04-17,0.610
2022-04-22,0.674
2022-04-27,0.707
2022-05-11,0.788
2022-05-12,0.796
2022-05-17,0.804
2022-05-19,0.785
2022-05-22,0.788
2022-06-01,0.804
2022-06-04,0.772
2022-06-06,0.800
2022-06-11,0.795
2022-06-12,0.774
2022-06-16,0.762
2022-06-28,0.764
2022-07-11,0.756
2022-07-14,0.772
2022-07-16,0.739
2022-07-21,0.742
2022-07-22,0.722
2022-07-26,0.742
2022-07-31,0.735
2022-08-07,0.706
2022-08-10,0.723
2022-08-20,0.726
2022-08-30,0.733
2022-09-19,0.696
2022-10-02,0.692
2022-10-04,0.729
2022-12-05,0.650
2022-12-29,0.589
2023-01-07,0.699
2023-01-12,0.682
2023-02-16,0.643
2023-03-03,0.564
2023-03-28,0.557
2023-04-04,0.540
2023-04-17,0.587
2023-04-20,0.593
2023-04-27,0.699
2023-05-02,0.733
2023-05-17,0.758
2023-05-27,0.755
2023-06-16,0.757
2023-06-23,0.752
2023-06-26,0.766
2023-07-09,0.741
2023-07-17,0.716
2023-07-21,0.745
2023-07-26,0.739
2023-07-31,0.750
2023-08-05,0.751
2023-08-10,0.730
2023-08-15,0.746
2023-08-20,0.739
2023-09-04,0.705
2023-09-09,0.743
2023-09-11,0.736
2023-09-14,0.754
2023-09-24,0.767
2023-09-27,0.741
2023-09-29,0.767
2023-10-09,0.763
2023-10-13,0.750
2023-11-08,0.756
2023-11-18,0.676
2023-12-03,0.676
2023-12-16,0.610
2023-12-18,0.693
2023-12-24,0.599
2024-01-09,0.578
2024-01-22,0.642
2024-01-25,0.572
2024-01-27,0.615
2024-02-02,0.553
2024-02-11,0.580
2024-02-18,0.537
2024-03-05,0.546
2024-03-12,0.581
2024-03-13,0.547
2024-03-17,0.565
2024-04-01,0.589
2024-04-11,0.587
