date,mean_ndvi_s2
2024-01-07 10:49:04.637,0.541
2024-01-22 10:49:07.997,0.540
2024-01-27 10:49:03.375,0.531
2024-02-11 10:49:09.439,0.532
2024-03-12 10:49:05.492,0.498
2024-03-17 10:49:09.140,0.502
2024-03-27 10:49:09.431,0.550
2024-04-01 10:49:07.700,0.549
2024-04-11 10:49:08.911,0.549
2024-05-11 10:49:09.256,0.749
2024-05-31 10:49:09.282,0.764
2024-06-05 10:49:13.876,0.800
2024-06-25 10:49:12.310,0.773
2024-07-05 10:49:12.305,0.770
2024-07-10 10:49:10.928,0.769
2024-07-15 10:49:10.490,0.771
2024-07-25 10:49:11.103,0.754
2024-07-30 10:49:09.965,0.736
2024-08-04 10:49:10.977,0.740
2024-08-09 10:49:12.667,0.730
2024-08-19 10:49:10.263,0.740
2024-08-24 10:49:06.373,0.726
2024-08-29 10:49:11.023,0.719
2024-09-13 10:49:06.739,0.796
2024-09-18 10:49:04.901,0.779
2024-09-28 10:49:09.058,0.720
2024-10-03 10:49:10.144,0.720
2024-10-23 10:49:08.379,0.709
2024-11-17 10:49:06.580,0.613
2024-11-22 10:49:07.968,0.601
2024-11-27 10:49:10.364,0.581
2024-12-17 10:49:09.694,0.645
2024-12-27 10:49:10.422,0.577
2025-01-01 10:49:08.997,0.510
2025-01-11 10:49:05.452,0.554
2025-02-05 10:49:10.372,0.548
2025-02-15 10:49:13.197,0.535
2025-03-22 10:49:31.724,0.544
2025-04-01 10:49:31.507,0.530
2025-04-06 10:49:09.374,0.532
2025-04-11 10:49:31.007,0.501
2025-05-01 10:49:30.455,0.595
2025-05-06 10:49:10.626,0.768
2025-05-11 10:49:27.075,0.847
2025-05-13 10:49:22.701,0.839
2025-05-16 10:49:09.023,0.787
2025-05-23 10:49:25.288,0.659
2025-05-26 10:49:10.048,0.809
2025-05-31 10:49:29.190,0.807
2025-06-10 10:49:28.896,0.797
2025-06-22 10:49:23.064,0.778
2025-06-25 10:49:10.549,0.764
2025-06-30 10:49:30.286,0.768
2025-07-02 10:49:26.318,0.756
2025-07-05 10:49:17.852,0.732
2025-07-10 10:49:31.844,0.755
2025-07-15 10:49:17.859,0.755
2025-07-20 10:49:31.882,0.843
2025-07-22 10:49:27.968,0.726
2025-07-25 10:49:10.578,0.720
2025-07-30 10:49:30.221,0.754
2025-08-11 10:49:22.312,0.729
2025-08-14 10:49:11.055,0.725
2025-08-29 10:49:27.687,0.709
2025-08-31 10:49:23.147,0.834
2025-09-03 10:49:08.264,0.738
2025-09-18 10:49:21.320,0.745
2025-09-23 10:49:08.051,0.776
2025-09-30 10:49:24.257,0.774
2025-10-08 10:49:22.788,0.768
2025-10-28 10:49:21.727,0.733
2025-10-30 10:49:25.378,0.727
2025-11-09 10:49:24.065,0.660
2025-11-17 10:49:18.093,0.593
2025-11-19 10:49:25.074,0.593
2025-11-22 10:49:03.125,0.537
2025-11-27 10:49:17.867,0.576
2025-11-29 10:49:25.751,0.560
2025-12-09 10:49:23.138,0.616
2025-12-12 10:49:06.506,0.597
2025-12-17 10:49:16.747,0.593
2026-01-06 10:49:14.124,0.572
2026-01-11 10:49:05.940,0.564
2026-02-20 10:49:05.511,0.529
2026-02-20 10:49:33.026,0.528
2026-03-17 10:49:11.074,0.531
2026-03-27 10:49:10.448,0.530
2026-04-08 10:49:28.722,0.565
2026-04-16 10:49:07.789,0.658
2026-04-18 10:49:27.349,0.625
2026-04-21 10:49:04.817,0.739
2026-04-26 10:49:09.467,0.781
