date,mean_ndvi_s2
2016-04-08 10:49:06.320,0.502
2016-05-18 10:49:14.315,0.836
2016-06-07 10:49:12.748,0.847
2016-06-27 10:49:09.892,0.841
2016-07-07 10:49:11.453,0.849
2016-07-17 10:49:12.355,0.836
2016-07-27 10:49:12.585,0.838
2016-08-26 10:49:09.741,0.813
2016-09-05 10:49:07.605,0.776
2016-10-05 10:49:04.248,0.766
2016-10-15 10:49:03.839,0.796
2016-12-14 10:49:03.806,0.612
2017-01-03 10:49:02.595,0.571
2017-02-22 10:49:02.433,0.552
2017-03-14 10:48:59.939,0.496
2017-03-19 10:55:45.452,0.522
2017-03-29 10:49:04.733,0.510
2017-04-03 10:49:05.134,0.515
2017-04-08 10:49:05.503,0.521
2017-04-13 10:49:07.815,0.648
2017-04-18 10:49:05.613,0.764
2017-04-23 10:49:09.751,0.804
2017-04-28 10:49:04.985,0.836
2017-05-08 10:49:03.590,0.858
2017-05-23 10:49:11.345,0.880
2017-05-28 10:49:06.929,0.878
2017-06-07 10:49:07.934,0.876
2017-06-12 10:49:09.411,0.878
2017-06-17 10:49:08.409,0.868
2017-06-27 10:49:08.382,0.860
2017-07-02 10:49:07.363,0.870
2017-07-07 10:49:08.735,0.936
2017-07-17 10:49:08.770,0.867
2017-07-27 10:49:08.328,0.866
2017-08-06 10:49:08.344,0.862
2017-08-21 10:49:09.538,0.843
2017-09-05 10:49:01.745,0.844
2017-09-20 10:49:04.199,0.839
2017-10-05 10:48:53.497,0.818
2017-10-10 10:49:07.062,0.785
2017-10-15 10:48:54.797,0.813
2017-10-25 10:48:55.410,0.777
2017-11-14 10:48:55.597,0.630
2017-11-19 10:49:05.449,0.557
2017-12-19 10:49:03.116,0.543
2017-12-24 10:48:56.980,0.667
2018-01-18 10:49:01.871,0.564
2018-01-28 10:49:03.534,0.567
2018-02-07 10:49:04.638,0.574
2018-03-14 10:49:00.720,0.519
2018-03-19 10:49:05.312,0.534
2018-04-18 10:49:09.887,0.549
2018-06-22 10:49:07.373,0.676
2018-07-07 10:49:09.637,0.876
2018-07-12 10:49:07.220,0.876
2018-07-17 10:49:09.767,0.872
2018-07-27 10:49:09.410,0.849
2018-08-01 10:49:05.192,0.872
2018-08-11 10:49:03.515,0.870
2018-08-16 10:49:07.868,0.865
2018-08-21 10:49:01.377,0.865
2018-08-26 10:49:07.301,0.861
2018-09-05 10:49:06.193,0.850
2018-09-20 10:49:01.188,0.823
2018-10-05 10:49:05.196,0.831
2018-10-25 10:49:05.391,0.811
2018-11-24 10:49:01.131,0.593
2018-12-19 10:49:03.620,0.539
2018-12-29 10:49:05.726,0.565
2019-01-03 10:49:03.091,0.555
2019-02-12 10:49:05.395,0.548
2019-02-17 10:49:08.407,0.540
2019-02-22 10:49:04.647,0.539
2019-02-27 10:49:07.302,0.541
2019-03-09 10:49:06.127,0.537
2019-03-29 10:49:10.459,0.520
2019-04-13 10:49:10.896,0.513
2019-04-28 10:49:16.063,0.678
2019-05-13 10:49:12.567,0.821
2019-05-23 10:49:12.058,0.831
2019-06-02 10:49:11.073,0.861
2019-06-17 10:49:16.354,0.847
2019-06-27 10:49:17.137,0.910
2019-07-02 10:49:13.564,0.914
2019-07-07 10:49:17.536,0.864
2019-07-12 10:49:13.873,0.867
2019-07-17 10:49:17.488,0.856
2019-07-22 10:49:13.809,0.875
2019-08-01 10:49:13.332,0.897
2019-08-11 10:49:12.412,0.872
2019-08-16 10:49:14.919,0.848
2019-08-21 10:49:11.114,0.849
2019-08-31 10:49:09.407,0.831
2019-09-05 10:49:11.153,0.825
2019-09-30 10:49:10.345,0.843
2019-10-15 10:49:09.952,0.843
2019-10-25 10:49:09.764,0.825
2019-10-30 10:49:11.945,0.807
2019-11-09 10:49:11.256,0.840
2019-11-29 10:49:08.051,0.550
2019-12-09 10:49:05.470,0.572
2019-12-24 10:49:03.774,0.565
2020-01-08 10:49:03.163,0.626
2020-01-28 10:49:01.533,0.582
2020-02-22 10:49:05.399,0.557
2020-03-08 10:49:04.719,0.540
2020-03-18 10:49:05.028,0.372
2020-05-07 10:49:12.811,0.856
2020-05-22 10:49:09.178,0.887
2020-05-27 10:49:14.785,0.884
2020-06-21 10:49:11.898,0.897
2020-07-11 10:49:10.433,0.960
2020-07-21 10:49:10.573,0.935
2020-07-31 10:49:11.547,0.985
2020-08-05 10:49:14.695,0.870
2020-08-15 10:49:14.612,0.871
2020-08-20 10:49:12.270,0.879
2020-08-25 10:49:14.133,0.849
2020-08-30 10:49:11.969,0.852
2020-09-04 10:49:13.229,0.850
2020-09-14 10:49:12.919,0.852
2020-10-24 10:49:14.052,0.699
2020-11-08 10:49:10.422,0.554
2020-11-18 10:49:09.453,0.555
2020-11-23 10:49:10.472,0.586
2020-12-03 10:49:07.699,0.540
2020-12-13 10:49:05.753,0.585
2020-12-28 10:49:06.450,0.529
2021-02-11 10:49:07.328,0.563
2021-03-23 10:49:07.296,0.537
2021-03-28 10:49:07.359,0.529
2021-04-02 10:49:05.647,0.500
2021-04-07 10:49:06.027,0.502
2021-04-12 10:49:03.375,0.539
2021-05-27 10:49:09.275,0.874
2021-06-16 10:49:09.698,0.861
2021-06-21 10:49:09.509,0.871
2021-07-01 10:49:10.783,0.825
2021-07-11 10:49:11.727,0.897
2021-07-16 10:49:10.794,0.858
2021-07-21 10:49:12.115,0.860
2021-07-31 10:49:11.960,0.888
2021-08-15 10:49:08.763,0.853
2021-08-20 10:49:11.029,0.856
2021-09-19 10:49:11.117,0.869
2021-10-14 10:49:09.971,0.850
2021-11-18 10:49:08.858,0.551
2021-12-03 10:49:04.088,0.506
2021-12-18 10:49:09.243,0.606
2022-01-12 10:49:04.619,0.547
2022-01-22 10:49:03.535,0.541
2022-01-27 10:49:08.849,0.566
2022-02-01 10:49:03.577,0.537
2022-02-06 10:49:08.281,0.581
2022-02-26 10:49:11.655,0.554
2022-04-17 10:49:12.473,0.656
2022-04-22 10:49:03.435,0.708
2022-05-12 10:49:06.779,0.872
2022-05-17 10:49:14.013,0.879
2022-05-22 10:49:08.810,0.965
2022-06-06 10:49:16.587,0.867
2022-06-11 10:49:13.669,0.866
2022-07-11 10:49:13.328,0.848
2022-07-16 10:49:21.047,0.854
2022-07-21 10:49:13.733,0.828
2022-07-26 10:49:18.720,0.835
2022-07-31 10:49:13.592,0.817
2022-08-05 10:49:19.807,0.794
2022-08-10 10:49:12.491,0.788
2022-08-20 10:49:10.238,0.784
2022-09-09 10:49:10.671,0.806
2022-09-19 10:49:10.290,0.707
2022-10-04 10:49:15.764,0.770
2022-10-09 10:49:06.761,0.733
2022-12-23 10:49:06.464,0.351
2023-01-07 10:49:06.057,0.537
2023-01-12 10:49:06.496,0.494
2023-01-22 10:49:04.602,0.432
2023-02-01 10:49:07.264,0.393
2023-02-26 10:49:09.414,0.498
2023-03-28 10:49:11.958,0.496
2023-04-02 10:49:07.789,0.498
2023-04-17 10:49:10.251,0.516
2023-04-27 10:49:10.278,0.684
2023-05-12 10:49:08.160,0.826
2023-05-27 10:49:13.323,0.833
2023-06-16 10:49:13.617,0.814
2023-06-26 10:49:13.370,0.829
2023-07-11 10:49:13.964,0.727
2023-07-21 10:49:12.771,0.810
2023-07-31 10:49:14.051,0.830
2023-08-05 10:49:13.631,0.822
2023-08-10 10:49:13.145,0.757
2023-08-15 10:49:14.302,0.812
2023-08-20 10:49:14.885,0.799
2023-08-30 10:49:14.121,0.562
2023-09-04 10:49:13.436,0.627
2023-09-09 10:49:13.874,0.759
2023-09-14 10:49:11.564,0.763
2023-09-24 10:49:12.210,0.763
2023-09-29 10:49:11.003,0.758
2023-10-04 10:49:09.101,0.767
2023-10-09 10:49:08.197,0.768
2023-11-08 10:49:08.209,0.749
2023-12-03 10:49:05.821,0.548
2024-01-07 10:49:04.637,0.548
2024-01-12 10:49:06.669,0.581
2024-01-22 10:49:07.997,0.564
2024-01-27 10:49:03.375,0.538
2024-02-11 10:49:09.439,0.555
2024-03-17 10:49:09.140,0.506
2024-03-27 10:49:09.431,0.528
2024-04-01 10:49:07.700,0.532
2024-04-11 10:49:08.911,0.535
2024-05-11 10:49:09.256,0.810
2024-06-05 10:49:13.876,0.850
2024-06-25 10:49:12.310,0.826
2024-07-05 10:49:12.305,0.829
2024-07-10 10:49:10.928,0.829
2024-07-15 10:49:10.490,0.840
2024-07-25 10:49:11.103,0.823
2024-07-30 10:49:09.965,0.798
2024-08-04 10:49:10.977,0.814
2024-08-09 10:49:12.667,0.806
2024-08-19 10:49:10.263,0.806
2024-08-24 10:49:06.373,0.810
2024-08-29 10:49:11.023,0.802
