date,mean_ndvi_s2
2016-04-08 10:49:06.320,0.506
2016-05-18 10:49:14.315,0.767
2016-06-07 10:49:12.748,0.797
2016-06-27 10:49:09.892,0.786
2016-07-07 10:49:11.453,0.785
2016-07-17 10:49:12.355,0.760
2016-07-27 10:49:12.585,0.746
2016-08-26 10:49:09.741,0.712
2016-09-05 10:49:07.605,0.687
2016-09-25 10:49:03.751,0.713
2016-10-05 10:49:04.248,0.701
2016-10-15 10:49:03.839,0.598
2016-11-24 10:49:06.843,0.501
2016-12-14 10:49:03.806,0.586
2017-01-03 10:49:02.595,0.566
2017-02-02 10:49:02.238,0.518
2017-02-22 10:49:02.433,0.532
2017-03-14 10:48:59.939,0.526
2017-03-19 10:55:45.452,0.528
2017-03-29 10:49:04.733,0.541
2017-04-03 10:49:05.134,0.554
2017-04-08 10:49:05.503,0.557
2017-04-13 10:49:07.815,0.598
2017-04-18 10:49:05.613,0.674
2017-04-23 10:49:09.751,0.709
2017-04-28 10:49:04.985,0.748
2017-05-08 10:49:03.590,0.773
2017-05-23 10:49:11.345,0.806
2017-05-28 10:49:06.929,0.800
2017-06-07 10:49:07.934,0.799
2017-06-12 10:49:09.411,0.794
2017-06-17 10:49:08.409,0.779
2017-06-27 10:49:08.382,0.765
2017-07-02 10:49:07.363,0.773
2017-07-07 10:49:08.735,0.813
2017-07-12 10:49:08.798,0.877
2017-07-17 10:49:08.770,0.762
2017-07-27 10:49:08.328,0.758
2017-08-06 10:49:08.344,0.744
2017-08-21 10:49:09.538,0.717
2017-09-05 10:49:01.745,0.718
2017-09-20 10:49:04.199,0.727
2017-10-05 10:48:53.497,0.727
2017-10-10 10:49:07.062,0.658
2017-10-15 10:48:54.797,0.767
2017-10-25 10:48:55.410,0.706
2017-11-14 10:48:55.597,0.609
2017-11-19 10:49:05.449,0.576
2017-12-19 10:49:03.116,0.564
2017-12-24 10:48:56.980,0.613
2018-01-18 10:49:01.871,0.564
2018-01-23 10:49:01.495,0.537
2018-01-28 10:49:03.534,0.553
2018-02-07 10:49:04.638,0.498
2018-02-22 10:49:00.660,0.493
2018-02-27 10:49:05.192,0.446
2018-03-14 10:49:00.720,0.513
2018-03-19 10:49:05.312,0.546
2018-04-18 10:49:09.887,0.538
2018-05-18 10:49:10.837,0.824
2018-05-23 10:49:06.177,0.731
2018-06-02 10:49:05.567,0.927
2018-06-22 10:49:07.373,0.619
2018-07-02 10:49:07.540,0.565
2018-07-07 10:49:09.637,0.787
2018-07-12 10:49:07.220,0.843
2018-07-17 10:49:09.767,0.781
2018-07-27 10:49:09.410,0.765
2018-08-01 10:49:05.192,0.773
2018-08-06 10:49:08.593,0.739
2018-08-11 10:49:03.515,0.774
2018-08-16 10:49:07.868,0.764
2018-08-21 10:49:01.377,0.767
2018-08-26 10:49:07.301,0.759
2018-09-05 10:49:06.193,0.755
2018-09-10 10:48:59.570,0.776
2018-09-20 10:49:01.188,0.722
2018-09-25 10:49:04.300,0.506
2018-10-05 10:49:05.196,0.724
2018-10-25 10:49:05.391,0.728
2018-11-24 10:49:01.131,0.620
2018-12-19 10:49:03.620,0.591
2018-12-29 10:49:05.726,0.593
2019-01-03 10:49:03.091,0.588
2019-02-07 10:49:08.985,0.574
2019-02-12 10:49:05.395,0.544
2019-02-17 10:49:08.407,0.533
2019-02-22 10:49:04.647,0.531
2019-02-27 10:49:07.302,0.529
2019-03-09 10:49:06.127,0.537
2019-03-29 10:49:10.459,0.531
2019-04-13 10:49:10.896,0.542
2019-04-28 10:49:16.063,0.621
2019-05-13 10:49:12.567,0.763
2019-05-23 10:49:12.058,0.773
2019-05-28 10:49:17.207,0.662
2019-06-02 10:49:11.073,0.801
2019-06-17 10:49:16.354,0.790
2019-06-27 10:49:17.137,0.827
2019-07-02 10:49:13.564,0.868
2019-07-07 10:49:17.536,0.777
2019-07-12 10:49:13.873,0.779
2019-07-17 10:49:17.488,0.762
2019-07-22 10:49:13.809,0.783
2019-08-01 10:49:13.332,0.790
2019-08-06 10:49:16.177,0.770
2019-08-11 10:49:12.412,0.765
2019-08-16 10:49:14.919,0.744
2019-08-21 10:49:11.114,0.744
2019-08-31 10:49:09.407,0.748
2019-09-05 10:49:11.153,0.721
2019-09-15 10:49:08.625,0.610
2019-09-30 10:49:10.345,0.765
2019-10-05 10:49:09.539,0.688
2019-10-10 10:49:11.407,0.780
2019-10-15 10:49:09.952,0.794
2019-10-25 10:49:09.764,0.776
2019-10-30 10:49:11.945,0.761
2019-11-04 10:49:08.958,0.748
2019-11-09 10:49:11.256,0.839
2019-11-29 10:49:08.051,0.613
2019-12-09 10:49:05.470,0.589
2019-12-14 10:49:05.562,0.588
2019-12-24 10:49:03.774,0.595
2020-01-08 10:49:03.163,0.609
2020-01-28 10:49:01.533,0.579
2020-02-22 10:49:05.399,0.559
2020-03-08 10:49:04.719,0.554
2020-03-13 10:49:06.743,0.632
2020-03-18 10:49:05.028,0.470
2020-04-12 10:49:04.866,0.594
2020-05-07 10:49:12.811,0.797
2020-05-17 10:49:14.014,0.915
2020-05-22 10:49:09.178,0.820
2020-05-27 10:49:14.785,0.817
2020-06-21 10:49:11.898,0.825
2020-06-26 10:49:14.206,0.847
2020-07-01 10:49:11.057,0.756
2020-07-06 10:49:13.171,0.792
2020-07-11 10:49:10.433,0.844
2020-07-16 10:49:13.492,0.803
2020-07-21 10:49:10.573,0.814
2020-07-26 10:49:14.307,0.789
2020-07-31 10:49:11.547,0.835
2020-08-05 10:49:14.695,0.754
2020-08-15 10:49:14.612,0.742
2020-08-20 10:49:12.270,0.741
2020-08-25 10:49:14.133,0.720
2020-08-30 10:49:11.969,0.728
2020-09-04 10:49:13.229,0.721
2020-09-14 10:49:12.919,0.733
2020-10-14 10:49:14.478,0.716
2020-10-24 10:49:14.052,0.674
2020-11-08 10:49:10.422,0.664
2020-11-18 10:49:09.453,0.599
2020-11-23 10:49:10.472,0.615
2020-12-03 10:49:07.699,0.591
2020-12-13 10:49:05.753,0.613
2020-12-28 10:49:06.450,0.568
2021-02-11 10:49:07.328,0.571
2021-03-23 10:49:07.296,0.545
2021-03-28 10:49:07.359,0.543
2021-04-02 10:49:05.647,0.521
2021-04-07 10:49:06.027,0.528
2021-04-12 10:49:03.375,0.557
2021-05-12 10:49:08.281,0.786
