date,mean_ndvi
2016-01-08,0.656
2016-01-10,0.612
2016-01-12,0.708
2016-01-13,0.622
2016-01-17,0.636
2016-01-21,0.654
2016-02-01,0.649
2016-02-05,0.598
2016-02-08,0.604
2016-02-14,0.630
2016-02-16,0.603
2016-03-01,0.563
2016-03-02,0.508
2016-03-04,0.586
2016-03-05,0.654
2016-03-08,0.562
2016-03-10,0.560
2016-03-11,0.590
2016-03-12,0.623
2016-03-13,0.599
2016-03-22,0.549
2016-03-24,0.593
2016-03-26,0.578
2016-04-10,0.718
2016-04-12,0.665
2016-04-14,0.672
2016-04-15,0.715
2016-04-23,0.790
2016-04-24,0.792
2016-04-25,0.767
2016-05-01,0.805
2016-05-02,0.794
2016-05-04,0.782
2016-05-05,0.816
2016-05-16,0.850
2016-05-18,0.842
2016-05-20,0.840
2016-05-21,0.884
2016-05-23,0.883
2016-05-24,0.885
2016-05-27,0.841
2016-06-03,0.881
2016-06-04,0.843
2016-06-06,0.910
2016-06-07,0.855
2016-06-08,0.891
2016-06-10,0.841
2016-06-15,0.906
2016-06-19,0.953
2016-06-20,0.821
2016-06-22,0.876
2016-06-23,0.885
2016-06-24,0.884
2016-06-25,0.866
2016-06-26,0.908
2016-06-27,0.853
2016-06-28,0.852
2016-06-29,0.820
2016-07-03,0.885
2016-07-04,0.864
2016-07-06,0.864
2016-07-07,0.846
2016-07-08,0.813
2016-07-09,0.882
2016-07-10,0.892
2016-07-11,0.941
2016-07-12,0.905
2016-07-15,0.819
2016-07-16,0.871
2016-07-17,0.869
2016-07-18,0.860
2016-07-19,0.861
2016-07-21,0.785
2016-07-24,0.849
2016-07-25,0.863
2016-07-26,0.875
2016-07-27,0.866
2016-07-28,0.870
2016-07-29,0.833
2016-07-31,0.873
2016-08-01,0.846
2016-08-02,0.876
2016-08-03,0.889
2016-08-04,0.832
2016-08-05,0.849
2016-08-07,0.830
2016-08-08,0.847
2016-08-10,0.837
2016-08-11,0.836
2016-08-13,0.843
2016-08-14,0.847
2016-08-15,0.837
2016-08-19,0.826
2016-08-21,0.879
2016-08-23,0.832
2016-08-24,0.831
2016-08-25,0.826
2016-08-26,0.825
2016-08-27,0.820
2016-08-30,0.875
2016-09-01,0.852
2016-09-02,0.860
2016-09-03,0.857
2016-09-05,0.809
2016-09-06,0.841
2016-09-07,0.828
2016-09-11,0.815
2016-09-12,0.825
2016-09-13,0.825
2016-09-16,0.810
2016-09-18,0.787
2016-09-19,0.847
2016-09-22,0.805
2016-09-24,0.875
2016-09-25,0.820
2016-09-27,0.829
2016-09-28,0.854
2016-09-29,0.846
2016-09-30,0.851
2016-10-03,0.859
2016-10-04,0.828
2016-10-09,0.888
2016-10-10,0.901
2016-10-15,0.877
2016-10-21,0.853
2016-10-27,0.773
2016-10-28,0.810
2016-10-29,0.797
2016-10-30,0.817
2016-10-31,0.833
2016-11-01,0.796
2016-11-02,0.812
2016-11-03,0.751
2016-11-06,0.817
2016-11-08,0.803
2016-11-12,0.773
2016-11-15,0.750
2016-11-16,0.785
2016-11-17,0.753
2016-11-30,0.761
2016-12-01,0.709
2016-12-02,0.715
2016-12-06,0.660
2016-12-07,0.687
2016-12-09,0.712
2016-12-10,0.723
2016-12-11,0.693
2016-12-13,0.765
2016-12-14,0.662
2016-12-24,0.698
2016-12-27,0.698
2016-12-29,0.692
2016-12-30,0.674
2016-12-31,0.696
2017-01-01,0.634
2017-01-02,0.663
2017-01-03,0.676
2017-01-04,0.687
2017-01-06,0.588
2017-01-07,0.727
2017-01-09,0.756
2017-01-11,0.677
2017-01-12,0.691
2017-01-17,0.591
2017-01-18,0.628
2017-01-19,0.632
2017-01-29,0.716
2017-02-03,0.658
2017-02-09,0.603
2017-02-17,0.733
2017-02-20,0.666
2017-02-21,0.659
2017-02-22,0.734
2017-02-25,0.621
2017-02-26,0.663
2017-03-09,0.612
2017-03-10,0.711
2017-03-11,0.570
2017-03-14,0.638
2017-03-15,0.673
2017-03-16,0.652
2017-03-17,0.704
2017-03-19,0.726
2017-03-20,0.586
2017-03-25,0.612
2017-03-29,0.616
2017-03-30,0.666
2017-04-06,0.726
2017-04-09,0.709
2017-04-11,0.783
2017-04-13,0.785
2017-04-14,0.771
2017-04-16,0.815
2017-04-17,0.750
2017-04-18,0.839
2017-04-19,0.796
2017-04-20,0.817
2017-04-21,0.830
2017-04-22,0.831
2017-04-23,0.853
2017-04-25,0.809
2017-04-28,0.847
2017-04-29,0.859
2017-05-06,0.804
2017-05-07,0.882
2017-05-08,0.837
2017-05-09,0.828
2017-05-15,0.857
2017-05-16,0.863
2017-05-17,0.875
2017-05-21,0.864
2017-05-23,0.878
2017-05-24,0.854
2017-05-25,0.886
2017-05-26,0.901
2017-05-27,0.884
2017-05-28,0.893
2017-06-01,0.807
2017-06-07,0.892
2017-06-08,0.864
2017-06-10,0.882
2017-06-11,0.901
2017-06-12,0.900
2017-06-13,0.902
2017-06-14,0.843
2017-06-15,0.891
2017-06-16,0.872
2017-06-17,0.887
2017-06-18,0.909
2017-06-19,0.901
2017-06-21,0.882
2017-06-22,0.881
2017-06-23,0.853
2017-06-24,0.867
2017-06-26,0.871
2017-06-27,0.829
2017-07-02,0.881
2017-07-03,0.878
2017-07-04,0.863
2017-07-05,0.848
2017-07-06,0.850
2017-07-10,0.875
2017-07-12,0.845
2017-07-13,0.901
2017-07-14,0.821
2017-07-15,0.886
2017-07-16,0.851
2017-07-17,0.873
2017-07-18,0.795
2017-07-20,0.895
2017-07-24,0.899
2017-07-27,0.881
2017-07-31,0.848
2017-08-02,0.841
2017-08-04,0.862
2017-08-05,0.864
2017-08-06,0.864
2017-08-07,0.873
2017-08-09,0.905
2017-08-10,0.858
2017-08-12,0.830
2017-08-13,0.855
2017-08-14,0.890
2017-08-15,0.859
2017-08-17,0.817
2017-08-18,0.860
2017-08-20,0.828
2017-08-21,0.841
