date,ndvi_final,ndvi_smooth,source
2016-01-08,0.567,0.569,MODIS_LM
2016-01-10,0.511,0.565,MODIS_LM
2016-01-12,0.634,0.559,MODIS_LM
2016-01-13,0.524,0.552,MODIS_LM
2016-01-17,0.542,0.544,MODIS_LM
2016-01-21,0.565,0.536,MODIS_LM
2016-02-01,0.558,0.527,MODIS_LM
2016-02-05,0.493,0.519,MODIS_LM
2016-02-08,0.501,0.510,MODIS_LM
2016-02-14,0.534,0.502,MODIS_LM
2016-02-16,0.499,0.494,MODIS_LM
2016-03-01,0.448,0.487,MODIS_LM
2016-03-02,0.377,0.477,MODIS_LM
2016-03-04,0.477,0.468,MODIS_LM
2016-03-05,0.565,0.462,MODIS_LM
2016-03-08,0.447,0.461,MODIS_LM
2016-03-10,0.444,0.463,MODIS_LM
2016-03-11,0.483,0.466,MODIS_LM
2016-03-12,0.525,0.471,MODIS_LM
2016-03-13,0.494,0.485,MODIS_LM
2016-03-22,0.430,0.504,MODIS_LM
2016-03-24,0.486,0.527,MODIS_LM
2016-03-26,0.467,0.550,MODIS_LM
2016-04-10,0.647,0.566,MODIS_LM
2016-04-12,0.579,0.587,MODIS_LM
2016-04-14,0.588,0.617,MODIS_LM
2016-04-15,0.643,0.644,MODIS_LM
2016-04-23,0.739,0.666,MODIS_LM
2016-04-24,0.742,0.691,MODIS_LM
2016-04-25,0.710,0.720,MODIS_LM
2016-05-01,0.759,0.748,MODIS_LM
2016-05-02,0.744,0.764,MODIS_LM
2016-05-04,0.729,0.783,MODIS_LM
2016-05-05,0.773,0.787,MODIS_LM
2016-05-16,0.816,0.805,MODIS_LM
2016-05-18,0.836,0.814,S2
2016-05-20,0.803,0.823,MODIS_LM
2016-05-21,0.860,0.825,MODIS_LM
2016-05-23,0.859,0.829,MODIS_LM
2016-05-24,0.861,0.845,MODIS_LM
2016-05-27,0.805,0.849,MODIS_LM
2016-06-03,0.856,0.854,MODIS_LM
2016-06-04,0.807,0.857,MODIS_LM
2016-06-06,0.893,0.856,MODIS_LM
2016-06-07,0.847,0.853,S2
2016-06-08,0.869,0.855,MODIS_LM
2016-06-10,0.805,0.859,MODIS_LM
2016-06-15,0.888,0.860,MODIS_LM
2016-06-19,0.948,0.858,MODIS_LM
2016-06-20,0.779,0.858,MODIS_LM
2016-06-22,0.850,0.858,MODIS_LM
2016-06-23,0.861,0.853,MODIS_LM
2016-06-24,0.860,0.855,MODIS_LM
2016-06-25,0.837,0.846,MODIS_LM
2016-06-26,0.891,0.842,MODIS_LM
2016-06-27,0.841,0.834,S2
2016-06-28,0.819,0.833,MODIS_LM
2016-06-29,0.778,0.834,MODIS_LM
2016-07-03,0.861,0.835,MODIS_LM
2016-07-04,0.834,0.843,MODIS_LM
2016-07-06,0.834,0.840,MODIS_LM
2016-07-07,0.849,0.841,S2
2016-07-08,0.769,0.847,MODIS_LM
2016-07-09,0.857,0.846,MODIS_LM
2016-07-10,0.870,0.843,MODIS_LM
2016-07-11,0.933,0.843,MODIS_LM
2016-07-12,0.887,0.842,MODIS_LM
2016-07-15,0.776,0.840,MODIS_LM
2016-07-16,0.843,0.836,MODIS_LM
2016-07-17,0.836,0.833,S2
2016-07-18,0.829,0.832,MODIS_LM
2016-07-19,0.830,0.827,MODIS_LM
2016-07-21,0.733,0.824,MODIS_LM
2016-07-24,0.815,0.819,MODIS_LM
2016-07-25,0.833,0.817,MODIS_LM
2016-07-26,0.848,0.818,MODIS_LM
2016-07-27,0.838,0.824,S2
2016-07-28,0.842,0.829,MODIS_LM
2016-07-29,0.794,0.826,MODIS_LM
2016-07-31,0.846,0.827,MODIS_LM
2016-08-01,0.811,0.827,MODIS_LM
2016-08-02,0.850,0.827,MODIS_LM
2016-08-03,0.866,0.829,MODIS_LM
2016-08-04,0.793,0.817,MODIS_LM
2016-08-05,0.815,0.814,MODIS_LM
2016-08-07,0.791,0.812,MODIS_LM
2016-08-08,0.812,0.812,MODIS_LM
2016-08-10,0.800,0.809,MODIS_LM
2016-08-11,0.798,0.809,MODIS_LM
2016-08-13,0.807,0.802,MODIS_LM
2016-08-14,0.812,0.801,MODIS_LM
2016-08-15,0.800,0.798,MODIS_LM
2016-08-19,0.785,0.799,MODIS_LM
2016-08-21,0.853,0.806,MODIS_LM
2016-08-23,0.793,0.807,MODIS_LM
2016-08-24,0.792,0.809,MODIS_LM
2016-08-25,0.785,0.810,MODIS_LM
2016-08-26,0.813,0.811,S2
2016-08-27,0.778,0.810,MODIS_LM
2016-08-30,0.848,0.810,MODIS_LM
2016-09-01,0.819,0.810,MODIS_LM
2016-09-02,0.829,0.805,MODIS_LM
2016-09-03,0.825,0.803,MODIS_LM
2016-09-05,0.776,0.794,S2
2016-09-06,0.805,0.796,MODIS_LM
2016-09-07,0.788,0.793,MODIS_LM
2016-09-11,0.771,0.788,MODIS_LM
