date,ndvi_final,ndvi_smooth,source
2016-01-08,0.561,0.541,MODIS_LM
2016-01-12,0.538,0.546,MODIS_LM
2016-01-13,0.576,0.551,MODIS_LM
2016-01-17,0.524,0.554,MODIS_LM
2016-01-26,0.560,0.555,MODIS_LM
2016-01-30,0.483,0.556,MODIS_LM
2016-02-01,0.602,0.555,MODIS_LM
2016-02-02,0.468,0.553,MODIS_LM
2016-02-04,0.617,0.550,MODIS_LM
2016-02-05,0.527,0.547,MODIS_LM
2016-02-08,0.544,0.543,MODIS_LM
2016-02-13,0.642,0.538,MODIS_LM
2016-02-14,0.574,0.537,MODIS_LM
2016-02-16,0.506,0.530,MODIS_LM
2016-03-01,0.492,0.524,MODIS_LM
2016-03-04,0.539,0.523,MODIS_LM
2016-03-05,0.453,0.515,MODIS_LM
2016-03-08,0.450,0.511,MODIS_LM
2016-03-10,0.543,0.502,MODIS_LM
2016-03-11,0.497,0.504,MODIS_LM
2016-03-12,0.528,0.502,MODIS_LM
2016-03-13,0.542,0.499,MODIS_LM
2016-03-22,0.446,0.510,MODIS_LM
2016-03-23,0.589,0.521,MODIS_LM
2016-03-24,0.533,0.531,MODIS_LM
2016-03-26,0.512,0.544,MODIS_LM
2016-04-09,0.513,0.559,MODIS_LM
2016-04-10,0.599,0.568,MODIS_LM
2016-04-12,0.568,0.579,MODIS_LM
2016-04-14,0.582,0.599,MODIS_LM
2016-04-15,0.601,0.616,MODIS_LM
2016-04-23,0.672,0.636,MODIS_LM
2016-04-25,0.661,0.658,MODIS_LM
2016-05-01,0.691,0.673,MODIS_LM
2016-05-02,0.683,0.695,MODIS_LM
2016-05-04,0.680,0.711,MODIS_LM
2016-05-05,0.734,0.723,MODIS_LM
2016-05-16,0.764,0.735,MODIS_LM
2016-05-18,0.767,0.749,S2
2016-05-20,0.749,0.762,MODIS_LM
2016-05-21,0.780,0.767,MODIS_LM
2016-05-23,0.772,0.774,MODIS_LM
2016-05-24,0.771,0.783,MODIS_LM
2016-05-27,0.757,0.789,MODIS_LM
2016-06-03,0.784,0.797,MODIS_LM
2016-06-04,0.819,0.800,MODIS_LM
2016-06-06,0.824,0.800,MODIS_LM
2016-06-07,0.797,0.802,S2
2016-06-08,0.817,0.803,MODIS_LM
2016-06-10,0.770,0.805,MODIS_LM
2016-06-15,0.845,0.804,MODIS_LM
2016-06-19,0.789,0.800,MODIS_LM
2016-06-20,0.802,0.796,MODIS_LM
2016-06-22,0.809,0.792,MODIS_LM
2016-06-23,0.764,0.785,MODIS_LM
2016-06-24,0.782,0.780,MODIS_LM
2016-06-25,0.777,0.779,MODIS_LM
2016-06-26,0.758,0.778,MODIS_LM
2016-06-27,0.786,0.775,S2
2016-06-28,0.757,0.775,MODIS_LM
2016-06-29,0.747,0.775,MODIS_LM
2016-07-01,0.795,0.778,MODIS_LM
2016-07-03,0.783,0.779,MODIS_LM
2016-07-04,0.786,0.778,MODIS_LM
2016-07-06,0.794,0.779,MODIS_LM
2016-07-07,0.785,0.777,S2
2016-07-09,0.771,0.780,MODIS_LM
2016-07-10,0.784,0.776,MODIS_LM
2016-07-11,0.795,0.772,MODIS_LM
2016-07-12,0.779,0.768,MODIS_LM
2016-07-14,0.724,0.763,MODIS_LM
